Name of medicine,EMA product number,Medicine status,International non-proprietary name (INN) / common name,Active substance
Agamree,EMEA/H/C/005679,Authorised,vamorolone,vamorolone
Ponlimsi,EMEA/H/C/006238,Authorised,denosumab,denosumab
Spikevax (previously COVID-19 Vaccine Moderna),EMEA/H/C/005791,Authorised,COVID-19 mRNA vaccine,"single-stranded, 5’-capped messenger RNA (mRNA) produced using a cell-free in vitro transcription from the corresponding DNA templates, encoding the viral spike (S) protein of SARS-CoV-2"
Veyvondi,EMEA/H/C/004454,Authorised,vonicog alfa,vonicog alfa
HyQvia,EMEA/H/C/002491,Authorised,human normal immunoglobulin,human normal immunoglobulin
Nyvepria,EMEA/H/C/005085,Authorised,pegfilgrastim,pegfilgrastim
Kostaive,EMEA/H/C/006207,Authorised,zapomeran,COVID-19 sa-mRNA Vaccine
Libtayo,EMEA/H/C/004844,Authorised,cemiplimab,cemiplimab
Imnovid (previously Pomalidomide Celgene),EMEA/H/C/002682,Authorised,pomalidomide,Pomalidomide
Hycamtin,EMEA/H/C/000123,Authorised,topotecan,topotecan
Odomzo,EMEA/H/C/002839,Authorised,sonidegib,sonidegib diphosphate
Poteligeo,EMEA/H/C/004232,Authorised,mogamulizumab,mogamulizumab
Elfabrio,EMEA/H/C/005618,Authorised,pegunigalsidase alfa,pegunigalsidase alfa
Aflunov,EMEA/H/C/002094,Authorised,"zoonotic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted)",influenza virus surface antigens (haemagglutinin and neuraminidase) of strain: A/turkey/Turkey/1/05 (H5N1)-like strain (NIBRG-23)
Daptomycin Hospira,EMEA/H/C/004310,Authorised,daptomycin,daptomycin
Evrysdi,EMEA/H/C/005145,Authorised,risdiplam,risdiplam
Tocilizumab STADA (previously Tofidence),EMEA/H/C/005984,Authorised,tocilizumab,tocilizumab
Degevma,EMEA/H/C/006239,Authorised,denosumab,denosumab
Abiraterone Mylan,EMEA/H/C/005368,Authorised,abiraterone acetate,abiraterone acetate
Xenpozyme,EMEA/H/C/004850,Authorised,olipudase alfa,olipudase alfa
Effentora,EMEA/H/C/000833,Authorised,fentanyl,fentanyl
Brintellix,EMEA/H/C/002717,Authorised,vortioxetine,vortioxetine
Wegovy,EMEA/H/C/005422,Authorised,semaglutide,semaglutide
Opuviz,EMEA/H/C/006056,Authorised,aflibercept,aflibercept
Rybelsus,EMEA/H/C/004953,Authorised,semaglutide,semaglutide
Darzalex,EMEA/H/C/004077,Authorised,daratumumab,daratumumab
Imuldosa,EMEA/H/C/006221,Authorised,ustekinumab,ustekinumab
Relistor,EMEA/H/C/000870,Authorised,methylnaltrexone bromide,methylnaltrexone bromide
Zercepac,EMEA/H/C/005209,Authorised,trastuzumab,trastuzumab
Skyrizi,EMEA/H/C/004759,Authorised,risankizumab,risankizumab
Tagrisso,EMEA/H/C/004124,Authorised,osimertinib,osimertinib mesilate
Ziagen,EMEA/H/C/000252,Authorised,abacavir,abacavir
Trizivir,EMEA/H/C/000338,Authorised,abacavir;lamivudine;zidovudine,abacavir (as sulfate);lamivudine;zidovudine
Kivexa,EMEA/H/C/000581,Authorised,abacavir;lamivudine,abacavir;lamivudine
Teduglutide Viatris,EMEA/H/C/006564,Authorised,teduglutide,teduglutide
Aprovel,EMEA/H/C/000141,Authorised,irbesartan,irbesartan
Rystiggo,EMEA/H/C/005824,Authorised,rozanolixizumab,rozanolixizumab
Namuscla,EMEA/H/C/004584,Authorised,mexiletine hcl,Mexiletine hydrochloride
Kerendia,EMEA/H/C/005200,Authorised,finerenone,Finerenone
Sugammadex Adroiq,EMEA/H/C/006046,Authorised,sugammadex,sugammadex sodium
Ervebo,EMEA/H/C/004554,Authorised,"Ebola Zaire vaccine (rVSV?G-ZEBOV-GP, live)","recombinant vesicular stomatitis virus (strain indiana) with a deletion of the envelope glycoprotein, replaced with the zaire ebolavirus (strain kikwit 1995) surface glycoprotein"
Elrexfio,EMEA/H/C/005908,Authorised,elranatamab,elranatamab
Aripiprazole Zentiva,EMEA/H/C/003899,Authorised,aripiprazole,aripiprazole
Intuniv,EMEA/H/C/003759,Authorised,guanfacine,guanfacine hydrochloride
Alimta,EMEA/H/C/000564,Authorised,pemetrexed,pemetrexed
Irbesartan Hydrochlorothiazide Zentiva (previously Irbesartan Hydrochlorothiazide Winthrop),EMEA/H/C/000783,Authorised,irbesartan;hydrochlorothiazide,irbesartan;hydrochlorothiazide
Xospata,EMEA/H/C/004752,Authorised,gilteritinib,gilteritinib fumarate
Terrosa,EMEA/H/C/003916,Authorised,teriparatide,teriparatide
Karvea,EMEA/H/C/000142,Authorised,irbesartan,irbesartan
Tauvid,EMEA/H/C/006064,Authorised,flortaucipir (18F),Flortaucipir (18F)
Cyramza,EMEA/H/C/002829,Authorised,ramucirumab,ramucirumab
Amyvid,EMEA/H/C/002422,Authorised,florbetapir (18F),florbetapir (18F)
Abiraterone Krka,EMEA/H/C/005649,Authorised,abiraterone acetate,abiraterone acetate
Lotilaner / Milbemycin Elanco,EMEA/V/C/006911,Opinion,lotilaner;milbemycin oxime,lotilaner;milbemycin oxime
Victoza,EMEA/H/C/001026,Authorised,liraglutide,liraglutide
Ifirmacombi,EMEA/H/C/002302,Authorised,irbesartan;hydrochlorothiazide,irbesartan;hydrochlorothiazide
Irbesartan/Hydrochlorothiazide Teva,EMEA/H/C/001112,Authorised,irbesartan;hydrochlorothiazide,irbesartan;hydrochlorothiazide
Rivastigmine 1 A Pharma,EMEA/H/C/001181,Authorised,rivastigmine,rivastigmine
Rivastigmine Hexal,EMEA/H/C/001182,Authorised,rivastigmine,rivastigmine
Rivastigmine Sandoz,EMEA/H/C/001183,Authorised,rivastigmine,rivastigmine
Entecavir Viatris (previously Entecavir Mylan),EMEA/H/C/004377,Authorised,entecavir,entecavir monohydrate
Pemetrexed Pfizer (previously Pemetrexed Hospira),EMEA/H/C/003970,Authorised,pemetrexed,pemetrexed disodium;pemetrexed disodium hemipentahydrate
Verkazia,EMEA/H/C/004411,Authorised,ciclosporin,ciclosporin
Ikervis,EMEA/H/C/002066,Authorised,ciclosporin,ciclosporin
Rhokiinsa,EMEA/H/C/004583,Authorised,netarsudil,netarsudil
Bekemv,EMEA/H/C/005652,Authorised,eculizumab,Eculizumab
Roclanda,EMEA/H/C/005107,Authorised,latanoprost / netarsudil,Latanoprost;netarsudil mesilate
Ebglyss,EMEA/H/C/005894,Authorised,lebrikizumab,Lebrikizumab
Vyvgart,EMEA/H/C/005849,Authorised,efgartigimod alfa,Efgartigimod alfa
Blincyto,EMEA/H/C/003731,Authorised,blinatumomab,blinatumomab
Roctavian,EMEA/H/C/005830,Authorised,valoctocogene roxaparvovec,valoctocogene roxaparvovec
Triumeq,EMEA/H/C/002754,Authorised,abacavir;dolutegravir;lamivudine,dolutegravir sodium;lamivudine;abacavir (as sulfate)
